tweet-id,username,date,text,like-count
at://did:plc:swl7eeposhisu6q44ifdco2e/app.bsky.feed.post/3lblgwswyb42b,climateparentspgmd.bsky.social,2022-08-30,"Not only is it amazing how quickly Cherokee Lane Elementary was constructed, it was ""also sustainably built as part of the district’s Climate Change Action Plan.""  #PGCClimateAction",0
at://did:plc:kf4xw6ek5wza4ojpg6gx2e5m/app.bsky.feed.post/3lblmrykmng2x,matthutchins.bsky.social,2022-10-07,"Seattle is changing, but we have the chance to design that transformation.   We need 200000 new homes in next 20 years, draw down car infrastructure/use, and to thrive with a low carbon lifestyle in midst of climate change.    How do we get from here to there? 1/",0
at://did:plc:te6jk5kadvi3z5cidzjqbn3p/app.bsky.feed.post/3lbl6gndyd72a,nienkehaan.bsky.social,2022-10-26,"""You have to wonder what more it will take for the news media to realize that in the next few years climate change is likely to require a degree of re-training, re-hiring & re-thinking journalism itself equal to the digital shift of the last 2...",0
at://did:plc:6laekojw3whqu64tlaxopvgx/app.bsky.feed.post/3lbo5aaazka2d,josiah.writes.news,2022-10-06,"King Charles needs to walk the walk on climate change. He should convert the Crown Estate’s castles to green energy, switch to electric vehicles, and sell off some of the billions in family silver to fund green academies and charities...",1
at://did:plc:ksomqbgsxdjfftvucflglqav/app.bsky.feed.post/3lbnp3mcnxk2u,wanderinggaia.bsky.social,2022-09-23,"How to manage climate change migration, according to author Gaia Vince | World Economic Forum https://www.weforum.org/agenda/2022/09/book-club-climate-change-migration-gaia-vince/",0
at://did:plc:siez3nhlcvg6neas4bevkaki/app.bsky.feed.post/3lbp2qulksc2r,plainy.bsky.social,2022-08-24,"My Advisory this semester is Textile Arts - I want to do equal parts projects and some material history and excuses to watch Stitch in Time. I’d love to do some data viz projects, like climate change blankets? I’m trying to think of other potential data viz ideas",0
at://did:plc:el3jdxhr6vaei42xcdcfuixm/app.bsky.feed.post/3lbpcvhypzk2a,jensnotroff.com,2022-09-14,"""#ClimateCrisis: World on brink of five 'disastrous' #climate #TippingPoints, study finds""  https://www.theguardian.com/environment/2022/sep/08/world-on-brink-five-climate-tipping-points-study-finds by @dpcarrington via @guardian",0
at://did:plc:el3jdxhr6vaei42xcdcfuixm/app.bsky.feed.post/3lboyxesngv27,jensnotroff.com,2022-10-13,"Ever since 2001 the winter seasons Kaleeraq Mathaeussen notices less ice in #Ilulissat's Disko Bay. Today it is too dangerous to go fishing with his sled dogs.  ""#ClimateChange: #Greenland's culture shifts as Arctic heats up"" - https://www.bbc.com/news/world-europe-63135211 by...",0
at://did:plc:vvchsckzjkghycvzr2godign/app.bsky.feed.post/3lbguyzvgbg2m,wills-archive.bsky.social,2022-10-19,"Alex, who worked on one of my all time favorite party games, Wavelength, has teamed up with Matt Leacock, who made Pandemic to make a game about fighting climate change. I couldn't sign up for this fast enough. https://twitter.com/AlxHague/status/1582805807082930177",0
at://did:plc:wakecztlvnk52rff7qu2nskp/app.bsky.feed.post/3lbffb6ybtq2y,subletteweather.com,2022-08-23,Plus: #Climatechange may not be as divisive as you think.  https://richmond.com/weather/drying-out-a-bit-but-staying-warm-in-richmond/article_8b611222-664d-508a-9db1-8049869adc7a.html,0
at://did:plc:zhrovy3knklkhewo7guborwi/app.bsky.feed.post/3lbf2mwthtq2o,cosmic-andrew1.bsky.social,2022-08-08,Kind of shocked the United States actually passed meaningful climate change legislation. It's like 2-3 decades late but I guess better late than never. There is a lot of incentive in it to invest in clean energy including advanced nuclear reactors!,0
