Tweet_count,Username,Followers Count,text,Created at,Likes,Retweets,Replies,Hashtags,Tweet ID,Place Name,User Location,Jahr,Monat
21,newestdiscovery.com,183,www.newestdiscovery.com update: Clinton: Prospects in Climate Change (The battle against global warming means big economic opportuni...),Mon Nov 05 21:37:54 +0000 2007,0,0,0,,390646832,,,2007,11
22,Lebanon RSS,2241,Climate change threatens global security - The Nelson Mail http://tinyurl.com/2m3qe6,Tue Nov 06 00:16:00 +0000 2007,0,0,0,,390897142,,Beirut,2007,11
23,Tony Katz,40805,@charles_hope...first it was global warming..now its climate change..so when it gets cooler not warmer...it'll still be man's fault?,Mon Nov 05 04:06:13 +0000 2007,0,0,0,,388846302,,"Indiana, USA",2007,11
38,Lebanon RSS,2241,Climate change threatens global security - Marlborough Express http://tinyurl.com/2nt568,Tue Nov 06 00:15:58 +0000 2007,0,0,0,,390897092,,Beirut,2007,11
1,David 🇺🇸,1518,Best explanation of Global Climate Change yet.  http://tinyurl.com/2d979a,Sun Dec 23 18:22:41 +0000 2007,0,0,0,,527052142,,,2007,12
2,Fitz,965,Weird clouds possibly tied to global climate change - (at least they look cool...) http://tinyurl.com/24yfrs,Tue Dec 11 15:58:59 +0000 2007,0,0,0,,490436852,,"Chicago, IL",2007,12
3,National Public Health Week,26943,Global climate change is everybody’s business http://snipurl.com/1ukao,Mon Dec 03 15:50:33 +0000 2007,0,0,0,,465716612,,Washington D.C.,2007,12
4,Gerald Buckley,3507,@nathanmakan Fair enough. What is geography telling you on the global climate change? I have a fairly good handle on the geologic angle.,Fri Dec 14 16:38:14 +0000 2007,0,0,0,,501089122,,"Tulsa, OK",2007,12
5,geng wang,43,Global rallies draw attention to climate change http://tinyurl.com/yvdj7e,Sat Dec 08 17:20:14 +0000 2007,0,0,0,,481551072,,,2007,12
6,Brian Stahl,196,"headline: ""climate change conference 'success'"" ...oh good, they solved global warming. now we can go back to driving our SUV's guilt-free.",Sat Dec 15 20:00:48 +0000 2007,0,0,0,,504256172,,"San Diego, CA",2007,12
7,🐰,359,Indymedia UK  Rwanda: Unpredictable Climate Changes AllAfrica.com - 5 hours ago Climate change is one of the most critical global chall ...,Fri Dec 28 12:30:18 +0000 2007,0,0,0,,540992042,,,2007,12
8,Green & White,489,"Join in the Pakistan Meeting for Global Climate Change in Jacobabad, or participate online: Sidrat sen.. http://tinyurl.com/ytluem",Thu Dec 06 14:48:42 +0000 2007,0,0,0,,475155032,,Pakistan,2007,12
10,newestdiscovery.com,183,www.newestdiscovery.com update: The climate threat to Japanese rice (Scientists in Japan fear global warming could change the taste ...),Sat Dec 29 02:01:06 +0000 2007,0,0,0,,542454992,,,2007,12
11,newestdiscovery.com,183,"www.newestdiscovery.com update: The Secret Life of Trees (At the UN climate change summit in Bali, global deforestation -- an oft-fo...)",Fri Dec 28 21:43:28 +0000 2007,0,0,0,,541863472,,,2007,12
